name	source	kind	value	currency	captured_at	note
Firebrand Archer	ligamagic	menor	0.99	BRL	2026-09-23	
Electrostatic Field	ligamagic	menor	9.90	BRL	2026-09-23	
Kessig Flamebreather	ligamagic	menor	24.79	BRL	2026-09-23	
Erebor Flamesmith	ligamagic	menor	0.33	BRL	2026-09-23	
Solphim, Mayhem Dominus	ligamagic	menor	118.90	BRL	2026-09-23	
Gisela, Blade of Goldnight	ligamagic	menor	15.00	BRL	2026-09-23	
Big Score	ligamagic	menor	7.65	BRL	2026-09-23	
Seize the Spoils	ligamagic	menor	0.06	BRL	2026-09-23	
Unexpected Windfall	ligamagic	menor	19.90	BRL	2026-09-23	
Cathartic Pyre	ligamagic	menor	0.84	BRL	2026-09-23	
Cathartic Reunion	ligamagic	menor	0.14	BRL	2026-09-23	
Bitter Reunion	ligamagic	menor	9.90	BRL	2026-09-23	
Lightning Helix	ligamagic	menor	0.45	BRL	2026-09-23	
Slaughter the Strong	ligamagic	menor	0.20	BRL	2026-09-23	
Abrade	ligamagic	menor	0.30	BRL	2026-09-23	
Wear // Tear	ligamagic	menor	2.91	BRL	2026-09-23	
Chaos Warp	ligamagic	menor	4.12	BRL	2026-09-23	
Generous Gift	ligamagic	menor	5.00	BRL	2026-09-23	
Monument to Endurance	ligamagic	menor	110.00	BRL	2026-09-23	
Case of the Crimson Pulse	ligamagic	menor	0.90	BRL	2026-09-23	
Inti, Seneschal of the Sun	ligamagic	menor	4.90	BRL	2026-09-23	
Sin Prodder	ligamagic	menor	1.00	BRL	2026-09-23	
Palantír of Orthanc	ligamagic	menor	117.98	BRL	2026-09-23	
Court of Ire	ligamagic	menor	4.95	BRL	2026-09-23	
Throne of the High City	ligamagic	menor	0.65	BRL	2026-09-23	
War Room	ligamagic	menor	19.99	BRL	2026-09-23	
Seize Opportunity	ligamagic	menor	0.05	BRL	2026-09-23	
Syr Carah, the Bold	ligamagic	menor	0.09	BRL	2026-09-23	
Commander's Sphere	ligamagic	menor	0.50	BRL	2026-09-23	
Boros Locket	ligamagic	menor	0.18	BRL	2026-09-23	
Mizzium Mortars	ligamagic	menor	1.10	BRL	2026-09-23	
Unholy Heat	ligamagic	menor	0.50	BRL	2026-09-23	
Chain Reaction	ligamagic	menor	1.39	BRL	2026-09-23	
Ratchet Bomb	ligamagic	menor	1.00	BRL	2026-09-23	
Smothering Tithe	ligamagic	menor	233.91	BRL	2026-09-23	
Flame Jab	ligamagic	menor	0.05	BRL	2026-09-23	
Perpetual Timepiece	ligamagic	menor	0.65	BRL	2026-09-23	
Tablet of Discovery	ligamagic	menor	12.49	BRL	2026-09-23	
Lorehold Excavation	ligamagic	menor	0.08	BRL	2026-09-23	
Faithless Salvaging	ligamagic	menor	0.49	BRL	2026-09-23	
Demand Answers	ligamagic	menor	2.80	BRL	2026-09-23	
Electric Revelation	ligamagic	menor	0.52	BRL	2026-09-23	
Tormenting Voice	ligamagic	menor	0.20	BRL	2026-09-23	
Wild Guess	ligamagic	menor	0.05	BRL	2026-09-23	
Celebrate the Mountain-king	ligamagic	menor	0.23	BRL	2026-09-23	
Millikin	ligamagic	menor	0.18	BRL	2026-09-23	
Sphere of the Suns	ligamagic	menor	0.11	BRL	2026-09-23	
Talisman of Conviction	ligamagic	menor	3.80	BRL	2026-09-23	
Repercussion	ligamagic	menor	47.99	BRL	2026-09-23	
Crackle with Power	ligamagic	menor	26.40	BRL	2026-09-23	
Approach of the Second Sun	ligamagic	menor	12.02	BRL	2026-09-23	
Chandra's Ignition	ligamagic	menor	37.90	BRL	2026-09-23	
Felidar Sovereign	ligamagic	menor	15.99	BRL	2026-09-23	
Darksteel Reactor	ligamagic	menor	5.47	BRL	2026-09-23	
Ornithopter of Paradise	ligamagic	menor	6.79	BRL	2026-09-23	
Sunbillow Verge	ligamagic	menor	56.00	BRL	2026-09-23	
Radiant Summit	ligamagic	menor	5.46	BRL	2026-09-23	
Spectator Seating	ligamagic	menor	38.90	BRL	2026-09-23	
Glittering Massif	ligamagic	menor	2.48	BRL	2026-09-23	
Arena of Glory	ligamagic	menor	69.12	BRL	2026-09-23	
Gods Willing	ligamagic	menor	0.45	BRL	2026-09-23	
Fields of Strife	ligamagic	menor	0.01	BRL	2026-09-23	
Stone Quarry	ligamagic	menor	0.25	BRL	2026-09-23	
Wind-Scarred Crag	ligamagic	menor	0.10	BRL	2026-09-23	
Mountain	ligamagic	menor	0.20	BRL	2026-09-23	
Plains	ligamagic	menor	0.22	BRL	2026-09-23	
Boros Guildgate	ligamagic	menor	0.23	BRL	2026-09-23	
Sundown Pass	ligamagic	menor	10.00	BRL	2026-09-23	
Inspiring Vantage	ligamagic	menor	12.58	BRL	2026-09-23	
Sunscorched Divide	ligamagic	menor	1.95	BRL	2026-09-23	
Sunbaked Canyon	ligamagic	menor	26.39	BRL	2026-09-23	
Eiganjo, Seat of the Empire	ligamagic	menor	33.04	BRL	2026-09-23	
Elegant Parlor	ligamagic	menor	54.45	BRL	2026-09-23	
Helping Hand	ligamagic	menor	0.45	BRL	2026-09-24	
Recommission	ligamagic	menor	1.00	BRL	2026-09-24	
Return Triumphant	ligamagic	menor	0.20	BRL	2026-09-24	
Call a Surprise Witness	ligamagic	menor	0.15	BRL	2026-09-24	
Sevinne's Reclamation	ligamagic	menor	3.50	BRL	2026-09-24	
Brought Back	ligamagic	menor	3.00	BRL	2026-09-24	
Patch Up	ligamagic	menor	0.23	BRL	2026-09-24	
Teshar, Ancestor's Apostle	ligamagic	menor	0.60	BRL	2026-09-24	
Sun Titan	ligamagic	menor	2.25	BRL	2026-09-24	
Luminous Broodmoth	ligamagic	menor	6.74	BRL	2026-09-24	
Celestine, the Living Saint	ligamagic	menor	110.38	BRL	2026-09-24	
Bishop of Rebirth	ligamagic	menor	0.45	BRL	2026-09-24	
Venerable Warsinger	ligamagic	menor	0.49	BRL	2026-09-24	
Calamity Bearer	ligamagic	menor	0.24	BRL	2026-09-24	
Panharmonicon	ligamagic	menor	34.45	BRL	2026-09-24	
Haliya, Guided by Light	ligamagic	menor	11.88	BRL	2026-09-24	
The Gaffer	ligamagic	menor	63.75	BRL	2026-09-24	
Pursue the Past	ligamagic	menor	0.39	BRL	2026-09-24	
Angelic Renewal	ligamagic	menor	0.80	BRL	2026-09-24	
Karmic Guide	ligamagic	menor	2.66	BRL	2026-09-24	
Ark of Hunger	ligamagic	menor	0.45	BRL	2026-09-24	
Staff of the Storyteller	ligamagic	menor	9.85	BRL	2026-09-24	
Confession Dial	ligamagic	menor	1.42	BRL	2026-09-24	
Desdemona, Freedom's Edge	ligamagic	menor	1.45	BRL	2026-09-24	
Twinflame Tyrant	ligamagic	menor	121.67	BRL	2026-09-24	
Agate Instigator	ligamagic	menor	55.99	BRL	2026-09-24	
Fiendish Duo	ligamagic	menor	9.95	BRL	2026-09-24	
Lightning, Army of One	ligamagic	menor	73.59	BRL	2026-09-24	
Dictate of the Twin Gods	ligamagic	menor	4.50	BRL	2026-09-24	
Culling Dais	ligamagic	menor	0.08	BRL	2026-09-24	
Thrill of Possibility	ligamagic	menor	0.50	BRL	2026-09-24	
